dataset,source_kind,source_name,duration_s,fs,channels,method,order,chunk_s,requested_overlap_s,used_overlap_s,safe_overlap_s,padlen_samples,min_valid_samples,configured_span_samples,scheduled_span_samples,configured_filtfilt_safe,used_filtfilt_safe,fallback_group_delay_ms,num_windows,feature_windows,load_s,filter_s,feature_s,processing_s,total_s,realtime_factor,per_window_latency_ms,seconds_per_eeg_hour,eeg_hours_per_wall_hour,array_memory_mb,feature_checksum
chbmit,edf,chb01_01.edf,120.0,256.0,1,naive,200,1.0,0.5,0.0,0.6875,606,607,256,256,0,0,392.578,120,120,0.050754,0.014411,0.020039,0.03445,0.085204,0.00028709,0.2871,1.034,3483.3,0.492,100.278433
chbmit,edf,chb01_01.edf,120.0,256.0,1,fixed_overlap,200,1.0,0.5,0.5,0.6875,606,607,512,512,0,0,392.578,120,120,0.050754,0.013718,0.019799,0.033517,0.084271,0.00027931,0.2793,1.006,3580.3,0.492,100.946133
chbmit,edf,chb01_01.edf,120.0,256.0,1,scheduled_overlap,200,1.0,0.5,0.6875,0.6875,606,607,512,608,0,1,392.578,120,120,0.050754,0.058971,0.020579,0.079549,0.130303,0.00066291,0.6629,2.386,1508.5,0.492,100.68795
chbmit,edf,chb01_01.edf,120.0,256.0,1,whole_signal,200,1.0,0.5,0.5,0.6875,606,607,30720,30720,1,1,392.578,120,120,0.050754,0.001884,0.019504,0.021388,0.072142,0.00017823,0.1782,0.642,5610.6,0.492,100.637165
chbmit,edf,chb01_01.edf,120.0,256.0,2,naive,200,1.0,0.5,0.0,0.6875,606,607,256,256,0,0,392.578,120,240,0.050664,0.029436,0.039376,0.068812,0.119476,0.00057343,0.5734,2.064,1743.9,0.983,197.957768
chbmit,edf,chb01_01.edf,120.0,256.0,2,fixed_overlap,200,1.0,0.5,0.5,0.6875,606,607,512,512,0,0,392.578,120,240,0.050664,0.025011,0.037127,0.062138,0.112802,0.00051782,0.5178,1.864,1931.2,0.983,200.215771
chbmit,edf,chb01_01.edf,120.0,256.0,2,scheduled_overlap,200,1.0,0.5,0.6875,0.6875,606,607,512,608,0,1,392.578,120,240,0.050664,0.116835,0.038849,0.155684,0.206348,0.00129737,1.2974,4.671,770.8,0.983,198.942642
chbmit,edf,chb01_01.edf,120.0,256.0,2,whole_signal,200,1.0,0.5,0.5,0.6875,606,607,30720,30720,1,1,392.578,120,240,0.050664,0.003831,0.037492,0.041323,0.091987,0.00034436,0.3444,1.24,2903.9,0.983,198.844687
chbmit,edf,chb01_01.edf,120.0,256.0,4,naive,200,1.0,0.5,0.0,0.6875,606,607,256,256,0,0,392.578,120,480,0.050596,0.055206,0.075239,0.130446,0.181041,0.00108705,1.087,3.913,919.9,1.966,390.923783
chbmit,edf,chb01_01.edf,120.0,256.0,4,fixed_overlap,200,1.0,0.5,0.5,0.6875,606,607,512,512,0,0,392.578,120,480,0.050596,0.05023,0.075478,0.125708,0.176304,0.00104757,1.0476,3.771,954.6,1.966,393.061342
chbmit,edf,chb01_01.edf,120.0,256.0,4,scheduled_overlap,200,1.0,0.5,0.6875,0.6875,606,607,512,608,0,1,392.578,120,480,0.050596,0.230259,0.07725,0.307508,0.358104,0.00256257,2.5626,9.225,390.2,1.966,387.998323
chbmit,edf,chb01_01.edf,120.0,256.0,4,whole_signal,200,1.0,0.5,0.5,0.6875,606,607,30720,30720,1,1,392.578,120,480,0.050596,0.007214,0.072774,0.079988,0.130584,0.00066657,0.6666,2.4,1500.2,1.966,387.597307
chbmit,edf,chb01_01.edf,120.0,256.0,8,naive,200,1.0,0.5,0.0,0.6875,606,607,256,256,0,0,392.578,120,960,0.05194,0.109575,0.153459,0.263034,0.314974,0.00219195,2.192,7.891,456.2,3.932,782.323727
chbmit,edf,chb01_01.edf,120.0,256.0,8,fixed_overlap,200,1.0,0.5,0.5,0.6875,606,607,512,512,0,0,392.578,120,960,0.05194,0.103382,0.149639,0.253021,0.304961,0.00210851,2.1085,7.591,474.3,3.932,787.710747
chbmit,edf,chb01_01.edf,120.0,256.0,8,scheduled_overlap,200,1.0,0.5,0.6875,0.6875,606,607,512,608,0,1,392.578,120,960,0.05194,0.465388,0.150975,0.616363,0.668303,0.00513636,5.1364,18.491,194.7,3.932,778.271928
chbmit,edf,chb01_01.edf,120.0,256.0,8,whole_signal,200,1.0,0.5,0.5,0.6875,606,607,30720,30720,1,1,392.578,120,960,0.05194,0.016063,0.151492,0.167555,0.219495,0.00139629,1.3963,5.027,716.2,3.932,777.302997
chbmit,edf,chb01_01.edf,120.0,256.0,16,naive,200,1.0,0.5,0.0,0.6875,606,607,256,256,0,0,392.578,120,1920,0.050899,0.220375,0.288082,0.508457,0.559356,0.00423714,4.2371,15.254,236.0,7.864,1570.02598
chbmit,edf,chb01_01.edf,120.0,256.0,16,fixed_overlap,200,1.0,0.5,0.5,0.6875,606,607,512,512,0,0,392.578,120,1920,0.050899,0.204438,0.296069,0.500508,0.551406,0.0041709,4.1709,15.015,239.8,7.864,1579.623407
chbmit,edf,chb01_01.edf,120.0,256.0,16,scheduled_overlap,200,1.0,0.5,0.6875,0.6875,606,607,512,608,0,1,392.578,120,1920,0.050899,0.923785,0.294631,1.218416,1.269315,0.01015347,10.1535,36.552,98.5,7.864,1561.623946
chbmit,edf,chb01_01.edf,120.0,256.0,16,whole_signal,200,1.0,0.5,0.5,0.6875,606,607,30720,30720,1,1,392.578,120,1920,0.050899,0.031864,0.29104,0.322903,0.373802,0.00269086,2.6909,9.687,371.6,7.864,1560.453441
