dataset,source_kind,source_name,duration_s,fs,channels,method,order,chunk_s,requested_overlap_s,used_overlap_s,safe_overlap_s,padlen_samples,min_valid_samples,configured_span_samples,scheduled_span_samples,configured_filtfilt_safe,used_filtfilt_safe,fallback_group_delay_ms,num_windows,feature_windows,load_s,filter_s,feature_s,processing_s,total_s,realtime_factor,per_window_latency_ms,seconds_per_eeg_hour,eeg_hours_per_wall_hour,array_memory_mb,feature_checksum
chbmit,edf,chb01_01.edf,120.0,256.0,8,naive,100,1.0,0.5,0.0,0.101562,306,307,256,256,0,0,197.266,120,960,0.050964,0.091533,0.147958,0.23949,0.290455,0.00199575,1.9958,7.185,501.1,3.932,790.830042
chbmit,edf,chb01_01.edf,120.0,256.0,8,fixed_overlap,100,1.0,0.5,0.5,0.5,306,307,512,512,1,1,197.266,120,960,0.050964,0.221621,0.147234,0.368856,0.41982,0.0030738,3.0738,11.066,325.3,3.932,785.107788
chbmit,edf,chb01_01.edf,120.0,256.0,8,scheduled_overlap,100,1.0,0.5,0.5,0.5,306,307,512,512,1,1,197.266,120,960,0.050964,0.22037,0.149254,0.369624,0.420588,0.0030802,3.0802,11.089,324.7,3.932,785.107788
chbmit,edf,chb01_01.edf,120.0,256.0,8,whole_signal,100,1.0,0.5,0.5,0.5,306,307,30720,30720,1,1,197.266,120,960,0.050964,0.011056,0.149572,0.160628,0.211592,0.00133856,1.3386,4.819,747.1,3.932,785.107787
chbmit,edf,chb01_01.edf,120.0,256.0,8,naive,200,1.0,0.5,0.0,0.6875,606,607,256,256,0,0,392.578,120,960,0.050964,0.113878,0.15041,0.264289,0.315253,0.0022024,2.2024,7.929,454.0,3.932,782.323727
chbmit,edf,chb01_01.edf,120.0,256.0,8,fixed_overlap,200,1.0,0.5,0.5,0.6875,606,607,512,512,0,0,392.578,120,960,0.050964,0.10381,0.147803,0.251613,0.302577,0.00209677,2.0968,7.548,476.9,3.932,787.710747
chbmit,edf,chb01_01.edf,120.0,256.0,8,scheduled_overlap,200,1.0,0.5,0.6875,0.6875,606,607,512,608,0,1,392.578,120,960,0.050964,0.467138,0.151,0.618137,0.669102,0.00515115,5.1511,18.544,194.1,3.932,778.271928
chbmit,edf,chb01_01.edf,120.0,256.0,8,whole_signal,200,1.0,0.5,0.5,0.6875,606,607,30720,30720,1,1,392.578,120,960,0.050964,0.01521,0.151915,0.167125,0.218089,0.00139271,1.3927,5.014,718.0,3.932,777.302997
chbmit,edf,chb01_01.edf,120.0,256.0,8,naive,300,1.0,0.5,0.0,1.273438,906,907,256,256,0,0,587.891,120,960,0.050964,0.131704,0.147164,0.278868,0.329832,0.0023239,2.3239,8.366,430.3,3.932,785.137956
chbmit,edf,chb01_01.edf,120.0,256.0,8,fixed_overlap,300,1.0,0.5,0.5,1.273438,906,907,512,512,0,0,587.891,120,960,0.050964,0.123589,0.150827,0.274416,0.32538,0.0022868,2.2868,8.232,437.3,3.932,790.307602
chbmit,edf,chb01_01.edf,120.0,256.0,8,scheduled_overlap,300,1.0,0.5,1.273438,1.273438,906,907,512,908,0,1,587.891,120,960,0.050964,0.941204,0.151492,1.092696,1.14366,0.0091058,9.1058,32.781,109.8,3.932,785.069243
chbmit,edf,chb01_01.edf,120.0,256.0,8,whole_signal,300,1.0,0.5,0.5,1.273438,906,907,30720,30720,1,1,587.891,120,960,0.050964,0.024196,0.148522,0.172717,0.223681,0.00143931,1.4393,5.182,694.8,3.932,784.206599
chbmit,edf,chb01_01.edf,120.0,256.0,8,naive,400,1.0,0.5,0.0,1.859375,1206,1207,256,256,0,0,783.203,120,960,0.050964,0.156845,0.151259,0.308105,0.359069,0.00256754,2.5675,9.243,389.5,3.932,790.173075
chbmit,edf,chb01_01.edf,120.0,256.0,8,fixed_overlap,400,1.0,0.5,0.5,1.859375,1206,1207,512,512,0,0,783.203,120,960,0.050964,0.163823,0.150907,0.31473,0.365694,0.00262275,2.6228,9.442,381.3,3.932,788.940972
chbmit,edf,chb01_01.edf,120.0,256.0,8,scheduled_overlap,400,1.0,0.5,1.859375,1.859375,1206,1207,512,1208,0,1,783.203,120,960,0.050964,1.733199,0.155885,1.889084,1.940048,0.01574236,15.7424,56.673,63.5,3.932,789.228594
chbmit,edf,chb01_01.edf,120.0,256.0,8,whole_signal,400,1.0,0.5,0.5,1.859375,1206,1207,30720,30720,1,1,783.203,120,960,0.050964,0.034948,0.151047,0.185995,0.236959,0.00154996,1.55,5.58,645.2,3.932,788.524882
sleepedf,edf,SC4001E0-PSG.edf,120.0,100.0,2,naive,100,1.0,0.5,0.0,1.04,306,307,100,100,0,0,505.0,120,240,0.395278,0.024696,0.034569,0.059265,0.454543,0.00049388,0.4939,1.778,2024.8,0.384,200.795658
sleepedf,edf,SC4001E0-PSG.edf,120.0,100.0,2,fixed_overlap,100,1.0,0.5,0.5,1.04,306,307,200,200,0,0,505.0,120,240,0.395278,0.024209,0.03669,0.060899,0.456177,0.00050749,0.5075,1.827,1970.5,0.384,203.730337
sleepedf,edf,SC4001E0-PSG.edf,120.0,100.0,2,scheduled_overlap,100,1.0,0.5,1.04,1.04,306,307,200,308,0,1,505.0,120,240,0.395278,0.055178,0.03686,0.092037,0.487315,0.00076698,0.767,2.761,1303.8,0.384,201.861195
sleepedf,edf,SC4001E0-PSG.edf,120.0,100.0,2,whole_signal,100,1.0,0.5,0.5,1.04,306,307,12000,12000,1,1,505.0,120,240,0.395278,0.001374,0.033754,0.035128,0.430406,0.00029273,0.2927,1.054,3416.1,0.384,202.000781
sleepedf,edf,SC4001E0-PSG.edf,120.0,100.0,2,naive,200,1.0,0.5,0.0,2.54,606,607,100,100,0,0,1005.0,120,240,0.395278,0.028247,0.036172,0.064419,0.459697,0.00053682,0.5368,1.933,1862.8,0.384,204.790385
sleepedf,edf,SC4001E0-PSG.edf,120.0,100.0,2,fixed_overlap,200,1.0,0.5,0.5,2.54,606,607,200,200,0,0,1005.0,120,240,0.395278,0.029401,0.03426,0.06366,0.458938,0.0005305,0.5305,1.91,1885.0,0.384,203.614958
sleepedf,edf,SC4001E0-PSG.edf,120.0,100.0,2,scheduled_overlap,200,1.0,0.5,2.54,2.54,606,607,200,608,0,1,1005.0,120,240,0.395278,0.115671,0.035436,0.151107,0.546385,0.00125922,1.2592,4.533,794.1,0.384,204.561186
sleepedf,edf,SC4001E0-PSG.edf,120.0,100.0,2,whole_signal,200,1.0,0.5,0.5,2.54,606,607,12000,12000,1,1,1005.0,120,240,0.395278,0.002068,0.033828,0.035895,0.431173,0.00029913,0.2991,1.077,3343.1,0.384,204.352794
sleepedf,edf,SC4001E0-PSG.edf,120.0,100.0,2,naive,300,1.0,0.5,0.0,4.04,906,907,100,100,0,0,1505.0,120,240,0.395278,0.03351,0.035304,0.068814,0.464092,0.00057345,0.5734,2.064,1743.8,0.384,203.959708
sleepedf,edf,SC4001E0-PSG.edf,120.0,100.0,2,fixed_overlap,300,1.0,0.5,0.5,4.04,906,907,200,200,0,0,1505.0,120,240,0.395278,0.03584,0.035348,0.071187,0.466465,0.00059323,0.5932,2.136,1685.7,0.384,205.155801
sleepedf,edf,SC4001E0-PSG.edf,120.0,100.0,2,scheduled_overlap,300,1.0,0.5,4.04,4.04,906,907,200,908,0,1,1505.0,120,240,0.395278,0.230298,0.035194,0.265493,0.66077,0.00221244,2.2124,7.965,452.0,0.384,205.075865
sleepedf,edf,SC4001E0-PSG.edf,120.0,100.0,2,whole_signal,300,1.0,0.5,0.5,4.04,906,907,12000,12000,1,1,1505.0,120,240,0.395278,0.003569,0.035189,0.038759,0.434036,0.00032299,0.323,1.163,3096.1,0.384,204.77633
sleepedf,edf,SC4001E0-PSG.edf,120.0,100.0,2,naive,400,1.0,0.5,0.0,5.54,1206,1207,100,100,0,0,2005.0,120,240,0.395278,0.039726,0.034519,0.074246,0.469524,0.00061871,0.6187,2.227,1616.3,0.384,205.247463
sleepedf,edf,SC4001E0-PSG.edf,120.0,100.0,2,fixed_overlap,400,1.0,0.5,0.5,5.54,1206,1207,200,200,0,0,2005.0,120,240,0.395278,0.043,0.032643,0.075643,0.470921,0.00063036,0.6304,2.269,1586.4,0.384,205.407315
sleepedf,edf,SC4001E0-PSG.edf,120.0,100.0,2,scheduled_overlap,400,1.0,0.5,5.54,5.54,1206,1207,200,1208,0,1,2005.0,120,240,0.395278,0.396797,0.034657,0.431453,0.826731,0.00359544,3.5954,12.944,278.1,0.384,204.997063
sleepedf,edf,SC4001E0-PSG.edf,120.0,100.0,2,whole_signal,400,1.0,0.5,0.5,5.54,1206,1207,12000,12000,1,1,2005.0,120,240,0.395278,0.005152,0.034328,0.039479,0.434757,0.00032899,0.329,1.184,3039.6,0.384,204.859955
