dataset,source_name,channel,fs,location,policy,boundary_rmse_uv
chbmit,chb01_01.edf,0,256.0,record_start,causal,47.823553
chbmit,chb01_01.edf,0,256.0,record_start,reflect_zerophase,24.049487
chbmit,chb01_01.edf,0,256.0,interior,causal,47.689499
chbmit,chb01_01.edf,0,256.0,interior,reflect_zerophase,2.298664
chbmit,chb01_01.edf,0,256.0,interior,prefetch,0.001195
chbmit,chb01_01.edf,1,256.0,record_start,causal,28.589632
chbmit,chb01_01.edf,1,256.0,record_start,reflect_zerophase,15.021265
chbmit,chb01_01.edf,1,256.0,interior,causal,39.606183
chbmit,chb01_01.edf,1,256.0,interior,reflect_zerophase,3.334149
chbmit,chb01_01.edf,1,256.0,interior,prefetch,0.000267
chbmit,chb01_01.edf,2,256.0,record_start,causal,22.25092
chbmit,chb01_01.edf,2,256.0,record_start,reflect_zerophase,7.197382
chbmit,chb01_01.edf,2,256.0,interior,causal,22.362161
chbmit,chb01_01.edf,2,256.0,interior,reflect_zerophase,2.124161
chbmit,chb01_01.edf,2,256.0,interior,prefetch,0.000235
chbmit,chb01_01.edf,3,256.0,record_start,causal,28.515918
chbmit,chb01_01.edf,3,256.0,record_start,reflect_zerophase,4.406362
chbmit,chb01_01.edf,3,256.0,interior,causal,12.528373
chbmit,chb01_01.edf,3,256.0,interior,reflect_zerophase,2.250554
chbmit,chb01_01.edf,3,256.0,interior,prefetch,0.000755
chbmit,chb02_01.edf,0,256.0,record_start,causal,17.536107
chbmit,chb02_01.edf,0,256.0,record_start,reflect_zerophase,4.275365
chbmit,chb02_01.edf,0,256.0,interior,causal,28.973185
chbmit,chb02_01.edf,0,256.0,interior,reflect_zerophase,1.937578
chbmit,chb02_01.edf,0,256.0,interior,prefetch,0.000215
chbmit,chb02_01.edf,1,256.0,record_start,causal,23.31784
chbmit,chb02_01.edf,1,256.0,record_start,reflect_zerophase,1.16401
chbmit,chb02_01.edf,1,256.0,interior,causal,30.342843
chbmit,chb02_01.edf,1,256.0,interior,reflect_zerophase,6.217744
chbmit,chb02_01.edf,1,256.0,interior,prefetch,0.000597
chbmit,chb02_01.edf,2,256.0,record_start,causal,43.834567
chbmit,chb02_01.edf,2,256.0,record_start,reflect_zerophase,8.838767
chbmit,chb02_01.edf,2,256.0,interior,causal,30.378865
chbmit,chb02_01.edf,2,256.0,interior,reflect_zerophase,5.843851
chbmit,chb02_01.edf,2,256.0,interior,prefetch,0.000869
chbmit,chb02_01.edf,3,256.0,record_start,causal,47.037229
chbmit,chb02_01.edf,3,256.0,record_start,reflect_zerophase,6.280241
chbmit,chb02_01.edf,3,256.0,interior,causal,41.296048
chbmit,chb02_01.edf,3,256.0,interior,reflect_zerophase,2.449898
chbmit,chb02_01.edf,3,256.0,interior,prefetch,0.000575
chbmit,chb03_01.edf,0,256.0,record_start,causal,27.236928
chbmit,chb03_01.edf,0,256.0,record_start,reflect_zerophase,8.388511
chbmit,chb03_01.edf,0,256.0,interior,causal,27.360088
chbmit,chb03_01.edf,0,256.0,interior,reflect_zerophase,2.754742
chbmit,chb03_01.edf,0,256.0,interior,prefetch,0.000493
chbmit,chb03_01.edf,1,256.0,record_start,causal,19.049797
chbmit,chb03_01.edf,1,256.0,record_start,reflect_zerophase,3.182826
chbmit,chb03_01.edf,1,256.0,interior,causal,31.886858
chbmit,chb03_01.edf,1,256.0,interior,reflect_zerophase,1.962123
chbmit,chb03_01.edf,1,256.0,interior,prefetch,0.000841
chbmit,chb03_01.edf,2,256.0,record_start,causal,16.590263
chbmit,chb03_01.edf,2,256.0,record_start,reflect_zerophase,2.712402
chbmit,chb03_01.edf,2,256.0,interior,causal,25.628985
chbmit,chb03_01.edf,2,256.0,interior,reflect_zerophase,0.131088
chbmit,chb03_01.edf,2,256.0,interior,prefetch,0.000475
chbmit,chb03_01.edf,3,256.0,record_start,causal,8.175624
chbmit,chb03_01.edf,3,256.0,record_start,reflect_zerophase,3.03434
chbmit,chb03_01.edf,3,256.0,interior,causal,10.127847
chbmit,chb03_01.edf,3,256.0,interior,reflect_zerophase,0.213072
chbmit,chb03_01.edf,3,256.0,interior,prefetch,0.00049
chbmit,chb04_01.edf,0,256.0,record_start,causal,34.453367
chbmit,chb04_01.edf,0,256.0,record_start,reflect_zerophase,18.884169
chbmit,chb04_01.edf,0,256.0,interior,causal,36.866424
chbmit,chb04_01.edf,0,256.0,interior,reflect_zerophase,1.401433
chbmit,chb04_01.edf,0,256.0,interior,prefetch,0.000789
chbmit,chb04_01.edf,1,256.0,record_start,causal,45.934915
chbmit,chb04_01.edf,1,256.0,record_start,reflect_zerophase,24.406642
chbmit,chb04_01.edf,1,256.0,interior,causal,42.847792
chbmit,chb04_01.edf,1,256.0,interior,reflect_zerophase,2.172467
chbmit,chb04_01.edf,1,256.0,interior,prefetch,0.000931
chbmit,chb04_01.edf,2,256.0,record_start,causal,20.045489
chbmit,chb04_01.edf,2,256.0,record_start,reflect_zerophase,7.64998
chbmit,chb04_01.edf,2,256.0,interior,causal,20.784889
chbmit,chb04_01.edf,2,256.0,interior,reflect_zerophase,1.668825
chbmit,chb04_01.edf,2,256.0,interior,prefetch,0.001396
chbmit,chb04_01.edf,3,256.0,record_start,causal,17.003624
chbmit,chb04_01.edf,3,256.0,record_start,reflect_zerophase,6.722332
chbmit,chb04_01.edf,3,256.0,interior,causal,57.891062
chbmit,chb04_01.edf,3,256.0,interior,reflect_zerophase,2.141645
chbmit,chb04_01.edf,3,256.0,interior,prefetch,0.000917
chbmit,chb05_01.edf,0,256.0,record_start,causal,25.935061
chbmit,chb05_01.edf,0,256.0,record_start,reflect_zerophase,13.145094
chbmit,chb05_01.edf,0,256.0,interior,causal,26.193587
chbmit,chb05_01.edf,0,256.0,interior,reflect_zerophase,6.824588
chbmit,chb05_01.edf,0,256.0,interior,prefetch,0.001402
chbmit,chb05_01.edf,1,256.0,record_start,causal,63.718594
chbmit,chb05_01.edf,1,256.0,record_start,reflect_zerophase,5.053348
chbmit,chb05_01.edf,1,256.0,interior,causal,54.273654
chbmit,chb05_01.edf,1,256.0,interior,reflect_zerophase,10.39733
chbmit,chb05_01.edf,1,256.0,interior,prefetch,0.003005
chbmit,chb05_01.edf,2,256.0,record_start,causal,38.863163
chbmit,chb05_01.edf,2,256.0,record_start,reflect_zerophase,14.169108
chbmit,chb05_01.edf,2,256.0,interior,causal,53.878476
chbmit,chb05_01.edf,2,256.0,interior,reflect_zerophase,5.546751
chbmit,chb05_01.edf,2,256.0,interior,prefetch,0.004535
chbmit,chb05_01.edf,3,256.0,record_start,causal,53.153069
chbmit,chb05_01.edf,3,256.0,record_start,reflect_zerophase,11.1982
chbmit,chb05_01.edf,3,256.0,interior,causal,34.68471
chbmit,chb05_01.edf,3,256.0,interior,reflect_zerophase,0.710698
chbmit,chb05_01.edf,3,256.0,interior,prefetch,0.000664
chbmit,chb06_01.edf,0,256.0,record_start,causal,44.427336
